标志,ID,人物,位置,内容,跳转,扩展参数
#,72,朱熹,右,（手中拿着书卷，上面可见修改痕迹，写着论语集注。）,73,
#,73,我,左,先生，您这手稿上密密麻麻的修改痕迹，这得是修了多久啊！真是辛苦。您就不觉得寂寞吗，修书可是个难熬的事情。,74,
#,74,朱熹,右,研究学问，是我心所向，并不觉得寂寞。,75,
@,75,,,乾道五年（1169年）九月，朱熹的母亲祝氏夫人病逝，享年七十岁。次年正月，朱熹与门生蔡元定一同择地，最终将母亲安葬在建阳崇泰里（今莒口镇）后山天湖之阳的寒泉坞。为遵循丧礼“庐墓三年”，朱熹在母亲墓旁建了数间草房，并将其取名为“寒泉精舍”。,76,
@,76,,,“寒泉”一词出自《诗经·凯风》“爰有寒泉，在浚之下。有子七人，母氏劳苦”，后世常以“寒泉”喻子孝其母。此后，朱熹在此开始了隐居的守孝、授徒、著述生涯。在寒泉精舍期间，朱熹潜心著作，完成了《西铭解》《太极图说解》《伊洛渊源录》《论语集注》《孟子集注》等诸多巨著。,77,
@,77,,,淳熙二年（1175年），吕祖谦来到寒泉精舍与朱熹相会，两人共同研讨，编成了理学的入门书——《近思录》，标志着“寒泉著述”时期的结束。,78,
@,78,,,你已了解寒泉著述。,62,
#,79,朱熹,右,百姓乃是国家之本。爱民护民，正是我们读书人的目标啊。,80,恤民图|
￥,80,,,（点击农夫继续）,81,|农夫1
#,81,农夫1,左,朱先生，这几天天旱，稻子长得不太好，怕是交完赋税，就剩不了多少了，唉！,82,
#,82,朱熹,右,我已经写了文书，恳请减些赋税，再请县里派农技人来看看，日子总能过下去的。,83,
#,83,我,左,先生，您怎么知道每家的具体数目？,84,
#,84,朱熹,右,我前几日挨家挨户探访问的。有些农户，家中有人重病，全靠一个人下地劳动，这些情况，不到家中去，就不能得知，更何谈减税？,85,
#,85,我,左,话虽这么讲，但这挨家挨户的亲自过问，未免也太累了。,86,
#,86,朱熹,右,这些不算什么，“民为贵”，不能只写在书里，而是要真的去做。不然，如何对得起自己读过的书？如何对得起百姓。,87,
@,87,,,绍熙元年（1190年），61岁的朱熹到漳州赴任。朱熹在漳州的全部施政变革，主要体现于正经界、蠲（免）横赋、敦风俗和劾奸吏等方面，而正经界则是他全部变革的灵魂。时值当地土地兼并之风盛行，官僚地主倚势吞并农民耕地，而税额没有随地划归地主，至使“田税不均”。,88,
@,88,,,失地农民受到更为沉重的剥削，导致阶级矛盾激化。为此，朱熹提出行“经界”，即核实田亩，随地亩纳税。这一建议势必减轻农民负担，但却损害大地主的利益，所以遭到后者的强烈反对，“经界”终于未能推行。,89,
@,89,,,你已了解田间恤民。,62,
@,90,,,,91,鹅湖论学图|
￥,91,,,（点击学子继续）,92,|学子
#,92,学子1,右,我认为，陆先生的“明心”论，更为直接。心即理也，何必向外求。,93,
#,93,学子2,右,胡说！想知“理”必定先“格物”，一件件的看事物，不然如何得知事物的本源？,94,
#,94,学子3,右,可本心都看不明，看再多东西又有何用？,95,
#,95,我,左,先生，您怎么看明心呢？这两者，真的那么大相径庭吗。心，和物，好像完全站在对立面上。,96,
#,96,朱熹,右,你看这茶杯，它是用陶烧的，能装水，这是格物的人看见的。而用它喝水，以达到解渴的目的，这是明心的人所看见的。你觉得这两种人，有错吗？,97,
#,97,我,左,没错，只是不同的角度罢了。,98,
#,98,朱熹,右,就是这个道理，明心没错，格物也没错。明心在虚，格物在实，虚实结合，才是真理。我和子静论学，也并不是要分个对错出来，而是相互补全，相互结合，来达成求“理”的目的。,99,
#,99,我,左,先生直接在陆先生的书稿上批注，就不担心他会生气？,100,
#,100,朱熹,右,我和子静，怎么会因为这种事情就生气？我们不仅是朋友，更是同道。更何况，做学问就要不怕得罪人，若是因为怕，就不去说，不去做，那学问要怎么进步？论学就是在争论中悟道呀。,101,
@,101,,,在南宋的理学家之中，陆九渊也是名气很大的人物。陆九渊与朱熹同时，小于朱熹9岁。二人在治学目标上基本一致，而其思想方法和认识途径却大不相同。从哲学观点上讲，朱、陆两家是南宋时期唯心主义理学内部的两个不同学派，由于观点不同，两家在学术问题上进行了长期的争辩。,102,
@,102,,,朱陆二人的辩论方式，主要是通过书信的往来进行交锋，然而鹅湖之会却是一次例外。,103,
@,103,,,宋孝宗淳熙二年（1175年），为了调和朱陆之分歧，由另一位著名学者吕祖谦发起，邀请了朱熹和陆九渊、陆九龄兄弟共四五人在信州鹅湖寺（今江西铅山县境内）集会，讨论的主要问题是“为学之方”。这便是中国学术史上有名的“鹅湖之会”。,104,
@,104,,,鹅湖之会5年过后（1180年），陆九渊来到白鹿洞书院拜访朱熹，请为其兄陆九龄撰写墓志铭，二人一见如故，十分友善，并且表现了互相仰慕之情。朱熹不仅接受了陆的请求，同时还邀请陆九渊为书院师生讲学，,105,
@,105,,,陆也欣然同意，他的题目是讲解《论语》“君子喻于义，小人喻于利”章，听者深受感动，给师生们留下了良好印象。这件事说明朱、陆的观点虽有分歧，但他们在学术交往和待人处事的态度上都具有宽豁大度的君子之风。,106,
@,106,,,你已了解鹅湖论学。,62,
#,107,朱熹,右,这一亩方塘，如此清澈，离不开后边山上的山泉水呀。,108,方塘图|
@,108,,,他冥思了一会，说道,109,
#,109,朱熹,右,问渠哪得清如许，唯有源头活水来。,110,
#,110,我,左,这方塘的活水，是山泉水。那我们的活水，又在哪呢。我总觉得很抽象。,111,
#,111,朱熹,右,多读书，多观察，就是我们生活的活水了。做学问也如此，多读书，多观察，我们才能发现自己往日不知道的东西，才能更上一层楼。,112,
#,112,我,左,先生从水里，都能想出这么多东西，真是厉害。看来我还有很多东西要向您学习。,113,
#,113,朱熹,右,不是我厉害，而是生活中本来就大有学问。你看那塘里的鱼儿，只在清水里游，在浊水中，你是见不到的。由此可见，人如鱼一般，要向往清净，多接触“清”的道理，避开那些浑浊，才不会走歪路。,114,
@,114,,,你已了解方塘悟理。,62,
END,115,,,,,
