标志,ID,人物,位置,内容,跳转,扩展属性
#,141,士兵甲,左,（上前一步，声音洪亮）启禀大人！此人昨夜酒后闯入百姓店铺，不仅砸毁器物，还拔刀威胁店主，校尉劝阻时竟公然反抗，按军律当斩！,142,
#,142,胡宗宪,左,（目光扫过全场士兵，语气掷地有声）我军驻守东南，是为保百姓安宁，不是来祸害百姓的！此人目无军纪、欺压民众，若不严惩，如何面对身后的黎民？如何让全军信服？,143,
#,143,将领3,左,（抱拳求情）大人，他随您征战三年，曾在舟山倭寇之战中立过战功，念在往日功劳，可否从轻发落，杖责示众即可？,144,
#,144,胡宗宪,左,（摇头，语气坚定）功过不能相抵！有功时我赏他良田布帛，如今犯了军律，便不能因旧功徇私。军纪如铁，今日斩他，是要让全军记住：无论资历多老、功劳多大，犯了军纪，一律严惩不贷！,145,
#,145,我,右,难怪后来明军军纪好转，原来胡宗宪真的说到做到，连老部下都不偏袒。,146,
@,146,,,胡宗宪督师东南前，明军长期军纪松弛，士兵欺压百姓、克扣军饷之事屡见不鲜，战斗力低下。为整肃军纪，胡宗宪亲自制定《军律》，明确规定“扰民者斩”“临阵退缩者斩”“贪污军饷者斩”。此次酒后滋事的老兵，虽有战功，却触碰军纪红线，胡宗宪不顾众将求情，坚持按律斩首示众。,147,
@,147,,,此后，他又亲自巡查各营，查处十余起贪污军饷的军官，并重赏作战勇猛、爱护百姓的士兵。在他的铁腕治理下，明军军纪焕然一新，士兵战斗力大幅提升，为后续平定倭寇奠定了坚实基础。,148,
@,148,,,你已了解辕门治军。,122,
@,149,,,,150,密室图|
￥,150,,,（点击密信继续）,151,|密信
#,151,徐渭,左,拿起一封拆封的密信，递给胡宗宪）大人，这是从徐海军中截获的，您看，徐海和陈东为了分赃，已经吵了好几次，互相都防着对方呢。,152,
#,152,胡宗宪,左,（接过密信，嘴角勾起一抹弧度）好啊，这正是我们的机会。徐海多疑，陈东贪婪，只要稍加挑拨，他们必会自相残杀。,153,
#,153,我,右,用反间计瓦解敌人？可万一被识破，岂不是会让倭寇联手反扑？,154,
#,154,胡宗宪,左,（手指点在“王翠翘”的名字上——那是徐海的谋士，也是他最信任的人）派人乔装成陈东的部下，给徐海送假消息，就说陈东要投靠朝廷，还想拿他的人头当投名状。另外，让王翠翘劝徐海：只要他杀了陈东，朝廷可以免他死罪，还能给他官职。,155,
#,155,徐渭,左,若徐海不信，反而联合陈东来攻，怎么办？,156,
#,156,胡宗宪,左,徐海久攻桐乡不下，粮草已快耗尽，他心里早就慌了。只要给他一条“活路”，他定会动心。,157,
@,157,,,嘉靖三十五年（1556年），倭寇首领徐海率三万部众围攻桐乡，东南数城危在旦夕。胡宗宪深知若强行解围，明军伤亡会极为惨重，遂决定用反间计破局。他先派间谍潜入徐海军中，散布“陈东私通朝廷”的假消息，引发二人猜忌；又以重金贿赂徐海信任的谋士王翠翘，让其劝说徐海降明。,158,
@,158,,,当徐海动摇时，胡宗宪亲写招降信，承诺“斩陈东可免罪”，并送去绸缎、金银等厚礼以示诚意。最终，徐海不仅主动撤去桐乡之围，还设计击杀陈东，将其首级献给明军。此后，胡宗宪逐步瓦解徐海残部，彻底平定这场倭寇之乱。此计虽以最小代价解危，却也因“利用人性弱点、手段偏险”遭后世争议。,159,
@,159,,,你已了解密室用间。,122,
@,160,,,,161,赈灾图|
￥,161,,,（点击灾民继续）,162,|老妇
#,162,老妇,左,（接过兵士递来的粮袋，对着胡宗宪连连叩拜）大人救命啊！这旱灾闹了三个月，地里的庄稼全枯死了，若不是您开仓放粮，我们祖孙俩早就饿死了！,163,
#,163,胡宗宪,左,老人家快起来，这是我该做的。百姓是国家的根本，我不能看着大家受苦。,164,
￥,164,,,（点击账本继续）,165,|账本
#,165,我,右, “张三家三口，免赋税半石；李四家有重病者，全免赋税”，他竟然连每家每户的情况都摸清了，连有病人的家庭都考虑到了。,166,
#,166,官员,左,大人，府库里的存粮只剩三成了，要是再没有补给，后续的灾民就接济不上了。而且您奏请朝廷减免赋税的折子，怕是会得罪那些靠收租获利的权贵啊。,167,
#,167,胡宗宪,左,权贵的不满，比不上百姓的性命。我已让人去邻省采购粮食，还传令各地富户捐粮，承诺灾后朝廷会为他们立碑表彰。至于赋税，我再写一封奏折，把徽州灾情写得详细些，就算得罪人，也要为百姓争来活路！,168,
@,168,,,嘉靖三十四年（1555年），徽州遭遇特大旱灾，农田干裂、颗粒无收，数万灾民流离失所。时任浙江巡按御史的胡宗宪得知消息后，立即从抗倭军粮中调拨部分粮食，亲自赶赴徽州赈灾。他不仅下令打开徽州府库粮仓，还挨家挨户走访灾民，记录每户人口、受灾程度，制定“按户分粮、因病免赋”的方案。,169,
@,169,,,为解决粮荒，他一方面动员当地富户捐粮，以“朝廷立碑”为奖励；另一方面派人前往江苏、江西等邻省，以高于市价的价格采购粮食。同时，他三次上书朝廷，详细陈述徽州灾情，恳请减免当地当年赋税，哪怕因此触怒朝中与地方权贵也毫不动摇。在他的努力下，徽州灾民无一人饿死，灾情得到有效控制，也为后续抗倭战争稳定了后方民生。,170,
@,170,,,你已了解衙署赈灾。,122,
END11,171,,,,,
